iter	Passed	Remaining
0	184	91820
1	219	54594
2	255	42310
3	291	36200
4	325	32226
5	330	27180
6	362	25523
7	396	24405
8	432	23601
9	467	22911
10	501	22305
11	537	21845
12	574	21528
13	623	21645
14	660	21362
15	696	21066
16	730	20768
17	767	20541
18	806	20428
19	849	20380
20	886	20216
21	920	20005
22	959	19890
23	1005	19947
24	1049	19944
25	1088	19846
26	1124	19693
27	1160	19555
28	1196	19438
29	1232	19314
30	1271	19234
31	1304	19081
32	1339	18957
33	1373	18826
34	1409	18720
35	1442	18595
36	1478	18496
37	1512	18393
38	1548	18309
39	1582	18195
40	1617	18113
41	1652	18018
42	1687	17929
43	1721	17842
44	1757	17772
45	1793	17696
46	1827	17613
47	1862	17542
48	1900	17489
49	1936	17428
50	1972	17366
51	2011	17330
52	2049	17284
53	2086	17228
54	2122	17174
55	2158	17116
56	2195	17060
57	2229	16993
58	2234	16701
59	2269	16640
60	2305	16595
61	2344	16559
62	2380	16511
63	2416	16461
64	2452	16411
65	2488	16366
66	2526	16329
67	2567	16312
68	2604	16269
69	2640	16218
70	2679	16190
71	2716	16146
72	2754	16111
73	2792	16077
74	2830	16038
75	2867	15998
76	2903	15949
77	2939	15901
78	2974	15852
79	3011	15811
80	3047	15764
81	3084	15722
82	3120	15678
83	3157	15634
84	3192	15588
85	3228	15539
86	3263	15490
87	3303	15468
88	3345	15449
89	3383	15413
90	3419	15370
91	3456	15327
92	3489	15272
93	3524	15221
94	3558	15170
95	3591	15114
96	3625	15061
97	3657	15003
98	3690	14950
99	3726	14904
100	3765	14874
101	3800	14829
102	3835	14781
103	3869	14732
104	3904	14686
105	3939	14643
106	3978	14612
107	4013	14568
108	4049	14526
109	4086	14489
110	4125	14458
111	4163	14423
112	4199	14381
113	4232	14332
114	4267	14285
115	4300	14236
116	4334	14188
117	4366	14135
118	4399	14085
119	4430	14029
120	4463	13980
121	4496	13931
122	4529	13883
123	4564	13840
124	4596	13790
125	4605	13669
126	4637	13619
127	4671	13576
128	4705	13532
129	4737	13483
130	4768	13432
131	4799	13381
132	4832	13335
133	4867	13293
134	4899	13246
135	4932	13202
136	4965	13158
137	4999	13114
138	5033	13072
139	5068	13032
140	5102	12991
141	5135	12946
142	5169	12904
143	5200	12855
144	5232	12811
145	5266	12769
146	5299	12726
